Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount,Semester,Instructor
4530,4000-4999,D,1,CS - Computer Science,3,S2018,"STOKER, M. L."
4530,4000-4999,C,2,CS - Computer Science,3,S2018,"STOKER, M. L."
4530,4000-4999,C,1,CS - Computer Science,4,S2018,"STOKER, M. L."
4530,4000-4999,B,2,CS - Computer Science,6,S2018,"STOKER, M. L."
4530,4000-4999,B,1,CS - Computer Science,10,S2018,"STOKER, M. L."
4530,4000-4999,A,2,CS - Computer Science,18,S2018,"STOKER, M. L."
4530,4000-4999,A,1,CS - Computer Science,6,S2018,"STOKER, M. L."
4640,4000-4999,W,1,CS - Computer Science,4,S2018,"HENDERSON, T. C."
4640,4000-4999,C,1,CS - Computer Science,2,S2018,"HENDERSON, T. C."
4640,4000-4999,B,1,CS - Computer Science,10,S2018,"HENDERSON, T. C."
4640,4000-4999,A,1,CS - Computer Science,11,S2018,"HENDERSON, T. C."
4940,4000-4999,W,38,CS - Computer Science,ds,S2018,
4940,4000-4999,A,48,CS - Computer Science,ds,S2018,
4940,4000-4999,A,47,CS - Computer Science,ds,S2018,
4940,4000-4999,A,41,CS - Computer Science,ds,S2018,
4940,4000-4999,A,40,CS - Computer Science,ds,S2018,
4940,4000-4999,A,24,CS - Computer Science,ds,S2018,
4940,4000-4999,A,1,CS - Computer Science,ds,S2018,
4950,4000-4999,A,54,CS - Computer Science,ds,S2018,
4950,4000-4999,A,39,CS - Computer Science,ds,S2018,
4950,4000-4999,A,35,CS - Computer Science,ds,S2018,
4950,4000-4999,A,17,CS - Computer Science,ds,S2018,
4950,4000-4999,A,7,CS - Computer Science,ds,S2018,
4950,4000-4999,A,5,CS - Computer Science,ds,S2018,
4950,4000-4999,A,3,CS - Computer Science,ds,S2018,
4970,4000-4999,A,55,CS - Computer Science,ds,S2018,
4970,4000-4999,A,50,CS - Computer Science,ds,S2018,
4970,4000-4999,A,43,CS - Computer Science,ds,S2018,
4970,4000-4999,A,27,CS - Computer Science,ds,S2018,
4970,4000-4999,A,11,CS - Computer Science,ds,S2018,
4998,4000-4999,E,1,CS - Computer Science,ds,S2018,
4998,4000-4999,C,2,CS - Computer Science,ds,S2018,
4998,4000-4999,A,3,CS - Computer Science,ds,S2018,
4998,4000-4999,A,2,CS - Computer Science,ds,S2018,
4999,4000-4999,A,5,CS - Computer Science,ds,S2018,
5010,5000-5999,B,1,CS - Computer Science,ds,S2018,
5110,5000-5999,B,1,CS - Computer Science,ds,S2018,
5110,5000-5999,A,1,CS - Computer Science,ds,S2018,
5140,5000-5999,W,1,CS - Computer Science,1,S2018,"PHILLIPS, J."
5140,5000-5999,C,1,CS - Computer Science,1,S2018,"PHILLIPS, J."
5140,5000-5999,B,1,CS - Computer Science,5,S2018,"PHILLIPS, J."
5140,5000-5999,A,1,CS - Computer Science,23,S2018,"PHILLIPS, J."
5350,5000-5999,W,1,CS - Computer Science,1,S2018,"ZHE, S."
5350,5000-5999,E,1,CS - Computer Science,1,S2018,"ZHE, S."
5350,5000-5999,C,1,CS - Computer Science,2,S2018,"ZHE, S."
5350,5000-5999,B,1,CS - Computer Science,3,S2018,"ZHE, S."
5350,5000-5999,A,1,CS - Computer Science,5,S2018,"ZHE, S."
5460,5000-5999,C,1,CS - Computer Science,2,S2018,"STUTSMAN, R."
5460,5000-5999,B,1,CS - Computer Science,35,S2018,"STUTSMAN, R."
5460,5000-5999,A,1,CS - Computer Science,56,S2018,"STUTSMAN, R."
5470,5000-5999,W,1,CS - Computer Science,4,S2018,"PARKER, D."
5470,5000-5999,E,1,CS - Computer Science,1,S2018,"PARKER, D."
5470,5000-5999,C,1,CS - Computer Science,5,S2018,"PARKER, D."
5470,5000-5999,B,1,CS - Computer Science,4,S2018,"PARKER, D."
5470,5000-5999,A,1,CS - Computer Science,9,S2018,"PARKER, D."
5530,5000-5999,W,1,CS - Computer Science,3,S2018,"LI, F."
5530,5000-5999,D,1,CS - Computer Science,4,S2018,"LI, F."
5530,5000-5999,C,1,CS - Computer Science,3,S2018,"LI, F."
5530,5000-5999,B,1,CS - Computer Science,56,S2018,"LI, F."
5530,5000-5999,A,1,CS - Computer Science,78,S2018,"LI, F."
5610,5000-5999,A,1,CS - Computer Science,ds,S2018,"YUKSEL, C."
5635,5000-5999,B,1,CS - Computer Science,2,S2018,"JOHNSON, C. R."
5635,5000-5999,A,1,CS - Computer Science,10,S2018,"JOHNSON, C. R."
5750,5000-5999,A,1,CS - Computer Science,ds,S2018,"MYERS, C. J."
5780,5000-5999,W,1,CS - Computer Science,1,S2018,"GAILLARDON, P. J."
5780,5000-5999,B,1,CS - Computer Science,3,S2018,"GAILLARDON, P. J."
5780,5000-5999,A,1,CS - Computer Science,12,S2018,"GAILLARDON, P. J."
